dataset,k,alpha,method,cost,cost_dev,time,time_dev,nmi,nmi_dev,ari,ari_dev
mnist,10,0.2,kmeans++,2021200.6,82810.31661477934,0.0061648845672607425,0.0006941495837303566,0.6143621270559609,0.044927254730837925,0.49307969246929595,0.05293493688829492
mnist,10,0.2,Algo1,1222704.19804414,2076.280685826216,0.36560008525848386,0.8677456188517819,0.9412914120590374,0.006273090193300061,0.9394504097363867,0.006763970228242141
mnist,10,0.2,Det,1209885.9841220707,2.3283064365386963e-10,0.16096432209014894,0.31896551015744196,0.943016278653303,1.1102230246251565e-16,0.9404891124652247,0.0
mnist,10,0.2,Ours,1215478.2977682555,1675.0023814700905,0.09727590084075928,0.13122750685846907,0.9458644299164417,0.009050542918957837,0.9435383873440802,0.010855176779954798
mnist,10,0.2,Ours1,1181241.7816189437,2570.383226955619,1.0770038604736327,3.1793220023533872,0.943535197824098,0.009391282051374282,0.9416336429425776,0.012130487522674288
mnist,10,0.2,Ours2,1212571.8465936817,908.542255891493,1.134943175315857,0.5795231935342825,0.9440059853752535,0.003056288926547622,0.9412657206367789,0.003515969034552666
mnist,10,0.2,OPT,1165456.348509192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,20,0.2,kmeans++,1565553.3,38402.46229358217,0.008109807968139648,0.001306898416858775,0.6983028830308979,0.022220234343611724,0.52140299032404,0.045229805230959076
mnist,20,0.2,Algo1,1015953.025000471,1400.281192584238,0.09919402599334717,0.004169675123677153,0.9472875151632941,0.005081626592596327,0.9416746678068211,0.006285602005219722
mnist,20,0.2,Det,999983.3746153495,1.1641532182693481e-10,0.06486773490905762,0.0024044022060998277,0.9590367370326011,1.1102230246251565e-16,0.9563549489843665,0.0
mnist,20,0.2,Ours,1003231.152810657,1568.8371039663343,0.0670469045639038,0.0026350685125981124,0.9532635181126266,0.004118603046198159,0.9494125895904013,0.004998910710451011
mnist,20,0.2,Ours1,972391.3481637535,740.0979058644054,0.02096281051635742,0.0008199692049756326,0.9518087710913934,0.004811749193764057,0.946207168496489,0.005743712520873943
mnist,20,0.2,Ours2,1005289.902883733,824.7347511875299,1.6851349592208862,0.030502287042750403,0.952146892107341,0.00221437815525365,0.94896064277648,0.0027352991874860892
mnist,20,0.2,OPT,954232.7379821447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnist,30,0.2,kmeans++,1329121.5,23448.850267123973,0.01374514102935791,0.0007566885958125709,0.7226922518653071,0.015369530735388446,0.4761878579792869,0.025897710574075306
mnist,30,0.2,Algo1,908434.3637475821,2380.2398374930335,0.12245683670043946,0.0031537365373306486,0.9551972123917472,0.005898925421588362,0.9374491838422649,0.008508661890420065
mnist,30,0.2,Det,887201.6373472823,0.0,0.0780412197113037,0.0027215527092906405,0.9580262844575774,0.0,0.9410309132492735,1.1102230246251565e-16
