dataset,k,alpha,method,cost,cost_dev,time,time_dev
mnist,20,0.1,kmeans++,1549861.3,0,0,0
mnist,20,0.1,Algo1,976892.9578319661,1104.6024824570218,0.34797255992889403,0.7891720499207012
mnist,20,0.1,Det,961211.4000174955,2.3283064365386963e-10,0.13916053771972656,0.24461586679969205
mnist,20,0.1,Ours,960513.1750624798,817.3750457683153,0.09687676429748535,0.11269634574789583
mnist,20,0.1,Ours1,952174.9794839605,489.36096387712655,0.9563731908798218,2.8170616808391986
mnist,20,0.1,Ours2,960827.3968146152,228.6434473202373,1.6808647632598877,0.5629370180265246
mnist,20,0.1,OPT,947531.6185628553,0,0,0
mnist,20,0.2,kmeans++,1548825.5,0,0,0
mnist,20,0.2,Algo1,1003842.8647152372,1084.8500766914462,0.08547015190124511,0.002826783012865207
mnist,20,0.2,Det,984194.5263592384,2.3283064365386963e-10,0.05778403282165527,0.0019296333363571828
mnist,20,0.2,Ours,989212.3169913273,932.609816818809,0.059163808822631836,0.0013698807276319083
mnist,20,0.2,Ours1,956724.5918778188,1165.3803203947016,0.016722655296325682,0.0007720551730526506
mnist,20,0.2,Ours2,990527.4292860411,1319.696522470197,1.4917384386062622,0.03233472477128935
mnist,20,0.2,OPT,944835.5312537139,0,0,0
mnist,20,0.3,kmeans++,1576335.7,0,0,0
mnist,20,0.3,Algo1,1067564.7639906988,3308.460849766857,0.09144237041473388,0.005799800787621005
mnist,20,0.3,Det,1042903.6101363854,1.1641532182693481e-10,0.0629086971282959,0.003912265088380417
mnist,20,0.3,Ours,1051534.759805556,3550.8784837827156,0.06328823566436767,0.0036612806174826508
mnist,20,0.3,Ours1,987844.3577166874,4687.987854836161,0.019164133071899413,0.001812426866134346
mnist,20,0.3,Ours2,1059376.0406123044,1159.973697657617,1.735329818725586,0.1105835826812504
mnist,20,0.3,OPT,953847.8470507781,0,0,0
mnist,20,0.4,kmeans++,1536096.7,0,0,0
mnist,20,0.4,Algo1,1180152.5086832943,5642.9317163265805,0.09164986610412598,0.006108464752972697
