dataset,k,alpha,method,cost,cost_dev,time,time_dev
usps,10,0.2,kmeans++,536656.157167242,0,0,0
usps,10,0.2,Algo1,359585.4066186921,179.66309908938211,1.6784034252166748,0.7656504319605437
usps,10,0.2,Det,352043.47448994627,0.0,1.7867912769317627,0.23015855480954264
usps,10,0.2,Ours,351692.61456542154,1228.111645049703,1.7412552118301392,0.09567894836399667
usps,10,0.2,Ours1,346054.93174348294,564.411985078587,1.4264639377593995,2.7585823571083297
usps,10,0.2,Ours2,351281.7106419247,107.75107532240622,6.281428289413452,0.5112699393548134
usps,10,0.2,OPT,338839.3744423718,0,0,0
usps,20,0.2,kmeans++,437724.4406998691,0,0,0
usps,20,0.2,Algo1,305367.6427850351,177.909412725848,1.432721996307373,0.04276064516405216
usps,20,0.2,Det,297655.1079118947,0.0,1.6413214206695557,0.051835817567152685
usps,20,0.2,Ours,297849.6854806527,1071.6957726333756,1.6390939474105835,0.04713745263896429
usps,20,0.2,Ours1,289753.4062641013,557.051827058742,0.43181312084198,0.013156280769419862
usps,20,0.2,Ours2,297437.0383003063,96.72450983417448,10.219339442253112,0.718212423555432
usps,20,0.2,OPT,285976.80764718406,0,0,0
usps,30,0.2,kmeans++,388115.76186482375,0,0,0
usps,30,0.2,Algo1,278948.1062403559,179.6200446074688,1.4456058025360108,0.11523657991197502
usps,30,0.2,Det,271013.7382907119,0.0,1.5982439279556275,0.10926713048038345
usps,30,0.2,Ours,272133.3981644163,717.8142848221769,1.5901333093643188,0.10706370355441554
usps,30,0.2,Ours1,263342.3423312054,368.57548438775984,0.3572669267654419,0.027911320926724992
usps,30,0.2,Ours2,271456.46330855694,69.3337257586629,13.070902562141418,1.3465587396740024
usps,30,0.2,OPT,259725.07319649035,0,0,0
usps,40,0.2,kmeans++,358009.1026138054,0,0,0
usps,40,0.2,Algo1,261078.7342426257,150.56500335169898,1.4084911584854125,0.02581144795911055
usps,40,0.2,Det,253510.37521303818,0.0,1.5228824853897094,0.023977605932274944
usps,40,0.2,Ours,254544.43809196586,748.3945616872322,1.5133328914642334,0.022873523267055888
usps,40,0.2,Ours1,245881.0674094317,502.38445557615665,0.314917778968811,0.011300414070759377
usps,40,0.2,Ours2,254207.22785073862,115.3542728955361,15.189650464057923,0.22784189419209488
usps,40,0.2,OPT,242068.78186342274,0,0,0
usps,50,0.2,kmeans++,339390.1661135725,0,0,0
usps,50,0.2,Algo1,249672.3612386697,127.0774641104631,1.5298978567123414,0.06642443581258949
usps,50,0.2,Det,241942.53358496918,2.9103830456733704e-11,1.5720177173614502,0.04233097626848436
usps,50,0.2,Ours,243268.2384174643,565.0959953929438,1.5560060501098634,0.042769174654057315
usps,50,0.2,Ours1,234262.46891991206,277.5959285135724,0.3283287286758423,0.01932239005241204
usps,50,0.2,Ours2,243062.1800115101,106.93476096301623,20.13313102722168,0.7598521318650782
usps,50,0.2,OPT,231153.02374568197,0,0,0
